"ID","PredictedQuality","RoundedQuality"
5464,5.98946724876052,6
5465,5.40255697005773,5
5466,4.87426589652017,5
5467,6.00028658908451,6
5468,5.25530145814118,5
5469,6.04432006778893,6
5470,6.66024702322578,7
5471,6.44247500835467,6
5472,6.39849320452145,6
5473,6.22522920725297,6
5474,6.14192862254134,6
5475,6.44036728544855,6
5476,5.07547118220189,5
5477,6.53527797944864,7
5478,5.34573817384,5
5479,5.93972827731367,6
5480,5.93136800588149,6
5481,6.03979558845987,6
5482,5.13511968896331,5
5483,6.2361560303131,6
5484,6.23532626688189,6
5485,5.15825462736202,5
5486,4.96563467394916,5
5487,5.13586785364531,5
5488,5.58896524318403,6
5489,5.86057404857785,6
5490,5.41605670726531,5
5491,5.91224846687093,6
5492,5.36909293451551,5
5493,5.38355429664606,5
5494,6.76698716257692,7
5495,6.36045501923203,6
5496,5.58397299739831,6
5497,5.83751585580809,6
5498,5.1967175421508,5
5499,6.48245877782915,6
5500,5.25369709157556,5
5501,6.06645897558633,6
5502,5.38479259783247,5
5503,5.90614247426406,6
5504,5.62393052155495,6
5505,5.06802098685906,5
5506,5.23240965132092,5
5507,5.23421064243094,5
5508,5.97733680350183,6
5509,6.32671348632715,6
5510,6.226294560087,6
5511,6.65473825414433,7
5512,5.56422179469041,6
5513,6.51974267906245,7
5514,6.07413567849052,6
5515,6.25559991440651,6
5516,6.24583139770843,6
5517,6.350290532651,6
5518,6.39468556544752,6
5519,4.47075064952978,4
5520,5.568112832444,6
5521,5.48551358990479,5
5522,5.1665991508948,5
5523,6.58358566382998,7
5524,5.32351323750736,5
5525,4.7504546086874,5
5526,5.69974293420407,6
5527,6.48918837329886,6
5528,5.85534133206926,6
5529,6.69501454039177,7
5530,5.83843524472359,6
5531,5.0150712524993,5
5532,5.9981727906414,6
5533,5.02563035465037,5
5534,5.65676621871128,6
5535,6.46071446097174,6
5536,5.01161414235441,5
5537,5.1469477631937,5
5538,5.94470905447634,6
5539,6.56852062735527,7
5540,6.27705473877858,6
5541,6.46446955126836,6
5542,6.73080957635722,7
5543,5.84455005379061,6
5544,6.31660093049678,6
5545,6.36493913800347,6
5546,5.93136800588149,6
5547,5.47496509588496,5
5548,6.10282603765183,6
5549,4.98337638664205,5
5550,5.79980058084985,6
5551,6.47962105568006,6
5552,5.32630291833185,5
5553,6.44099114307166,6
5554,6.2572435562714,6
5555,5.34609540712513,5
5556,4.95262487518121,5
5557,5.17870219501833,5
5558,6.25916201592211,6
5559,6.01651027844724,6
5560,5.93647209027261,6
5561,4.76926130446594,5
5562,4.72320309761113,5
5563,4.85539761980015,5
5564,5.41606696890058,5
5565,5.17677234462096,5
5566,4.74748592591528,5
5567,6.67507301999347,7
5568,5.70668429684244,6
5569,6.29282232460296,6
5570,6.40642232127889,6
5571,6.31035734479101,6
5572,6.45019859682086,6
5573,6.25658589302021,6
5574,5.41980987019441,5
5575,5.35429116008921,5
5576,6.25049247908224,6
5577,5.8818419777387,6
5578,6.05101741862828,6
5579,5.96536785838288,6
5580,5.98785840339062,6
5581,5.23067290152857,5
5582,5.55723728624038,6
5583,6.2691712867875,6
5584,5.43232602943034,5
5585,5.74702272244134,6
5586,5.74181164758165,6
5587,5.06045634728646,5
5588,5.72349544899823,6
5589,6.30868338333836,6
5590,6.46159772300846,6
5591,5.06480680079893,5
5592,4.81358645517506,5
5593,5.83947917062316,6
5594,5.00617336600697,5
5595,6.2290396357851,6
5596,6.49568268623311,6
5597,4.9448718459817,5
5598,5.37254199169963,5
5599,5.58932969731741,6
5600,5.39207334475031,5
5601,4.96149010690087,5
5602,5.20761509372747,5
5603,6.00203034551714,6
5604,6.61745592316327,7
5605,6.38848962366576,6
5606,6.18129791516309,6
5607,5.27198112631909,5
5608,6.36506009340498,6
5609,5.27641006899973,5
5610,5.16684420002728,5
5611,5.85631297310119,6
5612,5.05283412908309,5
5613,5.51353969731513,6
5614,5.05829399972785,5
5615,5.07352970048326,5
5616,5.29193018195561,5
5617,6.34100002933884,6
5618,6.65325258937639,7
5619,5.2882090799089,5
5620,6.01292375415343,6
5621,4.88061108966699,5
5622,6.41076141924958,6
5623,5.88637972930875,6
5624,4.92497032549427,5
5625,6.34045208025711,6
5626,5.42123788774605,5
5627,5.61396567822816,6
5628,5.60464558985668,6
5629,5.87931050939092,6
5630,6.77948887297868,7
5631,6.69174463435729,7
5632,5.73004191021348,6
5633,5.57280015170685,6
5634,5.73168958423369,6
5635,6.62415230483044,7
5636,5.57971847897574,6
5637,4.89072916481955,5
5638,5.70603566903677,6
5639,5.9308933617767,6
5640,6.32649753315161,6
5641,6.13326786527889,6
5642,6.4940039384186,6
5643,5.57719953676317,6
5644,6.32469943758651,6
5645,5.4771095345427,5
5646,5.97342339801078,6
5647,5.99164412276292,6
5648,5.80642905200592,6
5649,6.41602282172436,6
5650,6.94398056351938,7
5651,6.15982902900521,6
5652,5.99075315781171,6
5653,5.42161180673866,5
5654,6.02378893690894,6
5655,5.92465890805989,6
5656,5.52487584269668,6
5657,5.59821348813525,6
5658,5.88111874218791,6
5659,6.04983674501151,6
5660,5.92555732688535,6
5661,6.02630507618512,6
5662,6.48217986729997,6
